uid;date_match;joueurA;joueurB;surf;tournoi;coteA;coteB;probA_modele;probB_modele;evA_pct;evB_pct;marge;zones;psA;psB;mxA;mxB;avA;avB;clv_ps_pct;clv_avg_pct;score_confiance;injury;opp_streak;tourn_spec;elo_a;elo_b;srv_a;srv_b;ret_a;ret_b;trend_elo_a;trend_elo_b;rank_a;rank_b;forme_surf_a;forme_surf_b;forme_5A;forme_5B;clv_closing_60;clv_closing_15;anomalie;resultat;src_resultat
atp_stuttgart_gauthier_onclin_vs_marc-andrea_huesler;2026-06-07;Marc-Andrea Huesler;Gauthier Onclin;Grass;ATP Stuttgart;1.714;2.15;0.1500;0.3890;-74.29;-16.36;4.85;aucune;1.714;2.15;1.714;2.15;;;0.00;;23;;;;1472.4;1491.1;53.2;;38.0;;-6.8;;320;186;;;;;-0.58;-0.58;;0;
wta_s-hertogenbosch_ella_seidel_vs_greet_minnen;2026-06-07;Greet Minnen;Ella Seidel;Grass;WTA s-Hertogenbosch;1.617;2.33;0.5870;0.3890;-5.08;-9.36;4.76;aucune;1.617;2.33;1.617;2.33;;;0.00;;50;;;;1654.5;1548.5;53.5;55.7;38;39.3;24.1;-58.7;202;95;;;;;-1.16;-1.16;;1;oddspapi
wta_s-hertogenbosch_anouk_koevermans_vs_hanne_vandewinkel;2026-06-07;Hanne Vandewinkel;Anouk Koevermans;Grass;WTA s-Hertogenbosch;1.613;2.34;0.5870;0.3890;-5.32;-8.97;4.73;aucune;1.613;2.34;1.613;2.34;;;0.00;;45;;;;1523.4;1416.9;54.2;53.8;41.7;48.2;15.8;;97;161;;;;;-3.70;-3.70;;1;
atp_s-hertogenbosch_james_mccabe_vs_sander_jong;2026-06-07;James McCabe;Sander Jong;Grass;ATP S-Hertogenbosch;1.54;2.51;0.2200;0.3550;-66.12;-10.90;4.78;aucune;1.54;2.51;1.54;2.51;;;0.00;;23;;;;1503.1;1506.3;;63.9;;34.5;;13.7;233;83;;;;;-5.06;-5.06;;1;
atp_s-hertogenbosch_elias_ymer_vs_niels_visker;2026-06-07;Elias Ymer;Niels Visker;Grass;ATP S-Hertogenbosch;1.515;2.58;0.3200;0.3240;-51.52;-16.41;4.77;aucune;1.515;2.58;1.515;2.58;;;0.00;;33;;;;1518.6;1381;63.1;;36.8;;;;184;;;;;;-1.32;-1.32;;1;
atp_s-hertogenbosch_benjamin_bonzi_vs_bernard_tomic;2026-06-07;Benjamin Bonzi;Bernard Tomic;Grass;ATP S-Hertogenbosch;1.462;2.75;0.3800;0.3240;-44.44;-10.90;4.76;aucune;1.462;2.75;1.462;2.75;;;0.00;;35;;;;1635.4;1520.4;64.1;;33.9;;9.0;;99;188;;;;;-4.02;-4.02;;1;
atp_stuttgart_mert_alkaya_vs_pierre-hugues_herbert;2026-06-07;Pierre-Hugues Herbert;Mert Alkaya;Grass;ATP Stuttgart;1.378;3.1;0.2400;0.2290;-66.93;-29.01;4.83;aucune;1.378;3.1;1.378;3.1;;;0.00;;31;;;;1545.5;1433.5;61.7;;31.6;;-11.6;;232;333;;;;;-2.23;-2.23;;1;
atp_stuttgart_alexis_galarneau_vs_roman_safiullin;2026-06-07;Roman Safiullin;Alexis Galarneau;Grass;ATP Stuttgart;1.369;3.15;0.6600;0.2290;-9.65;-27.87;4.79;aucune;1.369;3.15;1.369;3.15;;;0.00;;31;;;;1618.3;1502.9;65.9;;34.4;;-5.3;;135;187;;;;;-0.44;-0.44;;0;
french_open_men_singles_alexander_zverev_vs_flavio_cobolli;2026-06-07;Alexander Zverev;Flavio Cobolli;Hard;French Open Men Singles;1.44;2.99;0.7900;0.8000;13.76;139.20;2.89;aucune;1.44;2.99;1.44;2.99;;;0.00;;100;;;;2031;1801.5;69.3;63.6;36.6;36.4;60.8;84.7;3;10;4V1D;0V1D;;;0.80;0.80;;1;oddspapi
wta_london_polina_kudermetova_vs_priscilla_hon;2026-06-07;Polina Kudermetova;Priscilla Hon;Hard;WTA London;1.571;2.46;0.6520;0.4900;2.43;20.54;4.30;aucune;1.571;2.46;1.571;2.46;;;0.00;;39;;;;1636.5;1588.5;52.9;54.9;41.1;41.9;10.4;;121;146;;;;;0.00;0.00;;1;
