date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,match_id,gele_le
2026-08-24T22:10,2026-08-25_yeon_woo_ku_astra_sharma,Astra Sharma,leovegas,4.2,4.2,4.6,0.0,live,,astra-sharma_vs_woo-yeon@2026-08-25,2026-08-25
2026-08-25T00:38,2026-08-21_pedro_martinez_daniil_glinka,Pedro Martinez,888sport,1.8,1.8,62.7,0.0,hist,,daniil-glinka_vs_martinez-pedro@2026-08-21,2026-08-25
2026-08-25T00:38,2026-08-21_pedro_martinez_daniil_glinka,Pedro Martinez,bwin,1.8,1.8,62.7,0.0,hist,,daniil-glinka_vs_martinez-pedro@2026-08-21,2026-08-25
2026-08-25T04:38,2026-08-25_braden_shick_clement_tabur,Braden Shick,leovegas,2.43,2.12,4.2,14.6,live,,braden-shick_vs_clement-tabur@2026-08-25,2026-08-25
2026-08-25T04:38,2026-08-25_braden_shick_clement_tabur,Braden Shick,unibet,2.43,2.12,4.2,14.6,live,,braden-shick_vs_clement-tabur@2026-08-25,2026-08-25
2026-08-25T04:38,2026-08-25_bernard_tomic_lloyd_harris,Bernard Tomic,bet365,3.4,3.25,4.4,4.6,live,,bernard-tomic_vs_harris-lloyd@2026-08-25,2026-08-25
2026-08-25T04:49,2026-08-25_braden_shick_clement_tabur,Braden Shick,leovegas,2.43,2.12,4.2,14.6,live,,braden-shick_vs_clement-tabur@2026-08-25,2026-08-25
2026-08-25T04:49,2026-08-25_braden_shick_clement_tabur,Braden Shick,unibet,2.43,2.12,4.2,14.6,live,,braden-shick_vs_clement-tabur@2026-08-25,2026-08-25
2026-08-25T04:49,2026-08-25_soonwoo_kwon_dusan_lajovic,Soonwoo Kwon,bet365,1.615,1.5,5.1,7.7,live,,dusan-lajovic_vs_kwon-soonwoo@2026-08-25,2026-08-25
2026-08-25T04:49,2026-08-25_bernard_tomic_lloyd_harris,Bernard Tomic,bet365,3.4,3.25,6.7,4.6,live,,bernard-tomic_vs_harris-lloyd@2026-08-25,2026-08-25
2026-08-25T04:59,2026-08-25_soonwoo_kwon_dusan_lajovic,Soonwoo Kwon,bet365,1.615,1.5,5.1,7.7,live,,dusan-lajovic_vs_kwon-soonwoo@2026-08-25,2026-08-25
2026-08-25T04:59,2026-08-25_bernard_tomic_lloyd_harris,Bernard Tomic,bet365,3.4,3.25,6.7,4.6,live,,bernard-tomic_vs_harris-lloyd@2026-08-25,2026-08-25
2026-08-25T10:21,2026-08-25_mario_gonzalez_fernandez_mitchell_krueger,Mario Gonzalez Fernandez,leovegas,3.15,2.75,5.3,14.5,live,,fernandez-gonzalez-mario_vs_krueger-mitchell@2026-08-25,2026-08-26
2026-08-25T10:21,2026-08-25_mario_gonzalez_fernandez_mitchell_krueger,Mario Gonzalez Fernandez,unibet,3.15,2.75,5.3,14.5,live,,fernandez-gonzalez-mario_vs_krueger-mitchell@2026-08-25,2026-08-26
2026-08-25T13:23,2026-08-25_whitney_osuigwe_mona_barthel,Whitney Osuigwe,bet365,2.375,2.375,4.8,0.0,live,,barthel-mona_vs_osuigwe-whitney@2026-08-25,2026-08-26
2026-08-25T14:43,2026-08-25_sara_sorribes_tormo_noma_noha_akugue,Noma Noha Akugue,bet365,2.75,2.75,8.3,0.0,live,,akugue-noha-noma_vs_sara-sorribes-tormo@2026-08-25,2026-08-26
2026-08-25T14:43,2026-08-25_sara_sorribes_tormo_noma_noha_akugue,Noma Noha Akugue,bet365.fr,2.67,2.67,5.1,0.0,live,,akugue-noha-noma_vs_sara-sorribes-tormo@2026-08-25,2026-08-26
2026-08-25T15:04,2026-08-25_darja_vidmanova_kimberly_birrell,Kimberly Birrell,betway,2.25,2.25,3.3,0.0,live,,birrell-kimberly_vs_darja-vidmanova@2026-08-25,2026-08-26
2026-08-26T12:23,2026-08-26_tristan_schoolkate_seongchan_hong,Tristan Schoolkate,unibet,1.53,1.42,3.3,7.7,live,,hong-seongchan_vs_schoolkate-tristan@2026-08-26,2026-08-27
2026-08-26T12:23,2026-08-26_tristan_schoolkate_seongchan_hong,Tristan Schoolkate,leovegas,1.53,1.42,3.3,7.7,live,,hong-seongchan_vs_schoolkate-tristan@2026-08-26,2026-08-27
2026-08-26T15:07,2026-08-26_jerome_kym_colton_smith,Jerome Kym,bet365,1.571,1.5,3.7,4.7,live,,colton-smith_vs_jerome-kym@2026-08-26,2026-08-27
2026-08-26T22:23,2026-08-27_benito_sanchez_martinez_hynek_barton,Benito Sanchez Martinez,bet365,2.625,2.375,3.6,10.5,live,,barton-hynek_vs_benito-martinez-sanchez@2026-08-27,2026-08-27
2026-08-27T04:28,2026-08-27_inaki_montes_de_la_torre_george_loffhagen,George Loffhagen,bet365,1.8,1.667,3.1,8.0,live,,de-inaki-la-montes-torre_vs_george-loffhagen@2026-08-27,2026-08-27
